;Temperatura;;Pressão;;Volume;
{ temperatura:;17,7;, pressao:;8;, volume:;1,4;},
{ temperatura:;18,3;, pressao:;8;, volume:;1,4;},
{ temperatura:;18,8;, pressao:;8;, volume:;1,4;},
{ temperatura:;19,4;, pressao:;8;, volume:;1,4;},
{ temperatura:;20;, pressao:;8;, volume:;1,3;},
{ temperatura:;20,5;, pressao:;8;, volume:;1,3;},
{ temperatura:;21,1;, pressao:;8;, volume:;1,3;},
{ temperatura:;21,6;, pressao:;8;, volume:;1,3;},
{ temperatura:;22,2;, pressao:;8;, volume:;1,3;},
{ temperatura:;22,7;, pressao:;8;, volume:;1,2;},
{ temperatura:;23,3;, pressao:;8;, volume:;1,2;},
{ temperatura:;23,8;, pressao:;8;, volume:;1,2;},
{ temperatura:;24,4;, pressao:;8;, volume:;1,2;},
{ temperatura:;25;, pressao:;8;, volume:;1,2;},
{ temperatura:;25,5;, pressao:;8;, volume:;1,1;},
{ temperatura:;26,1;, pressao:;8;, volume:;1,1;},
{ temperatura:;26,6;, pressao:;8;, volume:;1,1;},
{ temperatura:;27,2;, pressao:;8;, volume:;1,1;},
{ temperatura:;27,7;, pressao:;8;, volume:;1,1;},
{ temperatura:;28,3;, pressao:;8;, volume:;1,1;},
{ temperatura:;28,8;, pressao:;8;, volume:;1;},
{ temperatura:;29,4;, pressao:;8;, volume:;1;},
{ temperatura:;30;, pressao:;8;, volume:;1;},
{ temperatura:;30,8;, pressao:;8;, volume:;1;},
{ temperatura:;31,1;, pressao:;8;, volume:;1;},
{ temperatura:;31,6;, pressao:;8;, volume:;1;},
{ temperatura:;32,2;, pressao:;8;, volume:;1;},
{ temperatura:;0;, pressao:;10;, volume:;2,9;},
{ temperatura:;0,5;, pressao:;10;, volume:;2,8;},
{ temperatura:;1,1;, pressao:;10;, volume:;2,7;},
{ temperatura:;1,6;, pressao:;10;, volume:;2,7;},
{ temperatura:;2,2;, pressao:;10;, volume:;2,6;},
{ temperatura:;2,7;, pressao:;10;, volume:;2,6;},
{ temperatura:;3,3;, pressao:;10;, volume:;2,5;},
{ temperatura:;3,8;, pressao:;10;, volume:;2,5;},
{ temperatura:;4,4;, pressao:;10;, volume:;2,4;},
{ temperatura:;5;, pressao:;10;, volume:;2,4;},
{ temperatura:;5,5;, pressao:;10;, volume:;2,3;},
{ temperatura:;6,1;, pressao:;10;, volume:;2,3;},
{ temperatura:;6,6;, pressao:;10;, volume:;2,2;},
{ temperatura:;7,2;, pressao:;10;, volume:;2,2;},
{ temperatura:;7,7;, pressao:;10;, volume:;2,2;},
{ temperatura:;8,3;, pressao:;10;, volume:;2,1;},
{ temperatura:;8,8;, pressao:;10;, volume:;2,1;},
{ temperatura:;9,4;, pressao:;10;, volume:;2;},
{ temperatura:;10;, pressao:;10;, volume:;2;},
{ temperatura:;10,5;, pressao:;10;, volume:;2;},
{ temperatura:;11,1;, pressao:;10;, volume:;1,9;},
{ temperatura:;11,6;, pressao:;10;, volume:;1,9;},
{ temperatura:;12,2;, pressao:;10;, volume:;1,9;},
{ temperatura:;12,7;, pressao:;10;, volume:;1,8;},
{ temperatura:;13,3;, pressao:;10;, volume:;1,8;},
{ temperatura:;13,8;, pressao:;10;, volume:;1,8;},
{ temperatura:;14,4;, pressao:;10;, volume:;1,7;},
{ temperatura:;15;, pressao:;10;, volume:;1,7;},
{ temperatura:;15,5;, pressao:;10;, volume:;1,7;},
{ temperatura:;16,1;, pressao:;10;, volume:;1,6;},
{ temperatura:;16,6;, pressao:;10;, volume:;1,6;},
{ temperatura:;17,2;, pressao:;10;, volume:;1,6;},
{ temperatura:;17,7;, pressao:;10;, volume:;1,6;},
{ temperatura:;18,3;, pressao:;10;, volume:;1,5;},
{ temperatura:;18,8;, pressao:;10;, volume:;1,5;},
{ temperatura:;19,4;, pressao:;10;, volume:;1,5;},
{ temperatura:;20;, pressao:;10;, volume:;1,5;},
{ temperatura:;20,5;, pressao:;10;, volume:;1,4;},
{ temperatura:;21,1;, pressao:;10;, volume:;1,4;},
{ temperatura:;21,6;, pressao:;10;, volume:;1,4;},
{ temperatura:;22,2;, pressao:;10;, volume:;1,4;},
{ temperatura:;22,7;, pressao:;10;, volume:;1,4;},
{ temperatura:;23,3;, pressao:;10;, volume:;1,3;},
{ temperatura:;23,8;, pressao:;10;, volume:;1,3;},
{ temperatura:;24,4;, pressao:;10;, volume:;1,3;},
{ temperatura:;25;, pressao:;10;, volume:;1,3;},
{ temperatura:;25,5;, pressao:;10;, volume:;1,2;},
{ temperatura:;26,1;, pressao:;10;, volume:;1,2;},
{ temperatura:;26,6;, pressao:;10;, volume:;1,2;},
{ temperatura:;27,2;, pressao:;10;, volume:;1,2;},
{ temperatura:;27,7;, pressao:;10;, volume:;1,2;},
{ temperatura:;28,3;, pressao:;10;, volume:;1,2;},
{ temperatura:;28,8;, pressao:;10;, volume:;1,1;},
{ temperatura:;29,4;, pressao:;10;, volume:;1,1;},
{ temperatura:;30;, pressao:;10;, volume:;1,1;},
{ temperatura:;30,8;, pressao:;10;, volume:;1,1;},
{ temperatura:;31,1;, pressao:;10;, volume:;1,1;},
{ temperatura:;31,6;, pressao:;10;, volume:;1,1;},
{ temperatura:;32,2;, pressao:;10;, volume:;1;},
{ temperatura:;0;, pressao:;12;, volume:;3,1;},
{ temperatura:;0,5;, pressao:;12;, volume:;3;},
{ temperatura:;1,1;, pressao:;12;, volume:;2,9;},
